iter	Passed	Remaining
1096	34138	46773
1097	34172	46746
1098	34202	46713
1099	34238	46688
1100	34272	46661
1101	34302	46628
1102	34331	46594
1103	34361	46562
1104	34391	46529
1105	34432	46512
1106	34466	46484
1107	34494	46449
1108	34524	46416
1109	34556	46386
1110	34586	46354
1111	34624	46331
1112	34654	46299
1113	34685	46267
1114	34717	46238
1115	34748	46206
1116	34779	46175
1117	34815	46151
1118	34848	46121
1119	34879	46090
1120	34909	46057
1121	34939	46024
1122	34972	45997
1123	35008	45972
1124	35037	45937
1125	35067	45905
1126	35099	45875
1127	35129	45842
1128	35162	45813
1129	35199	45790
1130	35232	45761
1131	35261	45728
1132	35293	45698
1133	35324	45666
1134	35355	45634
1135	35394	45613
1136	35424	45580
1137	35455	45550
1138	35485	45517
1139	35517	45486
1140	35546	45453
1141	35580	45425
1142	35611	45394
1143	35643	45363
1144	35672	45331
1145	35701	45297
1146	35732	45265
1147	35771	45244
1148	35808	45220
1149	35838	45187
1150	35869	45155
1151	35897	45120
1152	35928	45089
1153	35966	45066
1154	35999	45038
1155	36033	45010
1156	36063	44978
1157	36092	44944
1158	36121	44910
1159	36150	44876
1160	36177	44839
1161	36209	44809
1162	36234	44771
1163	36261	44735
1164	36292	44703
1165	36324	44672
1166	36356	44643
1167	36381	44604
1168	36407	44567
1169	36435	44532
1170	36462	44496
1171	36486	44456
1172	36513	44419
1173	36545	44389
1174	36571	44352
1175	36596	44314
1176	36620	44274
1177	36644	44234
1178	36670	44196
1179	36694	44158
1180	36722	44123
1181	36747	44084
1182	36783	44059
1183	36808	44020
1184	36832	43982
1185	36857	43943
1186	36882	43904
1187	36907	43866
1188	36932	43828
1189	36963	43797
1190	36989	43760
1191	37015	43723
1192	37040	43684
1193	37066	43647
1194	37091	43609
1195	37116	43571
1196	37149	43543
1197	37177	43508
1198	37201	43468
1199	37226	43430
1200	37252	43393
1201	37279	43358
1202	37305	43322
1203	37332	43285
1204	37364	43255
1205	37390	43219
1206	37416	43182
1207	37441	43144
1208	37464	43104
1209	37491	43068
1210	37515	43029
1211	37542	42994
1212	37573	42963
1213	37602	42929
1214	37627	42891
1215	37652	42854
1216	37679	42819
1217	37708	42785
1218	37734	42749
1219	37769	42723
1220	37797	42688
1221	37823	42651
1222	37847	42613
1223	37871	42574
1224	37896	42537
1225	37921	42499
1226	37952	42468
1227	37980	42434
1228	38008	42399
1229	38032	42361
1230	38057	42323
1231	38081	42285
1232	38107	42249
1233	38138	42217
1234	38166	42184
1235	38190	42145
1236	38221	42114
1237	38248	42079
1238	38274	42043
1239	38298	42004
1240	38330	41975
1241	38356	41938
1242	38383	41903
1243	38410	41868
1244	38434	41830
1245	38459	41793
1246	38485	41756
1247	38516	41726
1248	38542	41690
1249	38568	41653
1250	38594	41618
1251	38620	41582
1252	38645	41545
1253	38671	41508
1254	38700	41476
1255	38731	41444
1256	38756	41407
1257	38780	41370
1258	38806	41334
1259	38833	41298
1260	38858	41261
1261	38882	41224
1262	38912	41192
1263	38938	41156
1264	38968	41124
1265	38993	41087
1266	39019	41051
1267	39042	41012
1268	39067	40976
1269	39091	40938
1270	39121	40906
1271	39151	40875
1272	39174	40836
1273	39197	40797
1274	39224	40763
1275	39247	40723
1276	39272	40687
1277	39296	40649
